City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,mokhotlong,-29.2894157,-58.1624465,289.53,89,96,3.94,AR,1691630671
123,naracoorte,-36.9575267,-58.1624465,282.35,94,100,3.85,AR,1691630673
124,alice springs,-23.6983884,-58.1624465,293.21,80,0,1.84,PY,1691630674
125,alofi,-19.0534159,-58.1624465,302.07,45,96,1.62,BO,1691630675
126,mukah,2.8929774,-58.1624465,297.3,80,73,0.64,GY,1691630677
127,griffith,-34.2870772,-58.1624465,287.75,87,53,4.21,UY,1691630678
128,vanimo,-2.6847646,-58.1624465,299.67,63,7,0.5,BR,1691630678
129,malango,-2.9626669,-58.1624465,301.68,61,14,1.72,BR,1691630682
130,saint-pierre,48.3832725,-58.1624465,285.37,95,100,10.67,CA,1691630683
131,sault ste. marie,46.52391,-58.1624465,292.83,92,100,11.43,CA,1691630684
132,orapa,-21.3361957,-58.1624465,297.92,57,0,0.52,PY,1691630659
133,bessonovka,53.309643,-58.1624465,284.1,81,100,2.81,CA,1691630685
134,temiskaming shores,47.508731,-58.1624465,289.81,93,100,17.76,CA,1691630686
135,sao joao da barra,-21.6348588,-58.1624465,297.48,57,0,0.88,BR,1691630686
136,hadibu,12.651236,-58.1624465,302.62,72,26,6.61,BB,1691630688
137,acarau,-2.8869514,-58.1624465,301.15,62,12,1.35,BR,1691630690
138,sabang,5.8927453,-58.1624465,297.62,88,26,1.02,GY,1691630691
139,verkhniy baskunchak,48.229256,-58.1624465,285.79,97,100,12.8,CA,1691630691
140,miquelon,47.04542505,-58.1624465,291.08,94,100,16.59,CA,1691630694
141,luganville,-15.5121107,-58.1624465,301.17,33,31,1.52,BR,1691630697
142,punta arenas,-53.1625688,-58.1624465,278.51,87,100,11.1,FK,1691630698
143,pionki,51.471797949999996,-58.1624465,284.91,79,100,7.06,CA,1691630699
144,whitefish,48.4108018,-58.1624465,285.83,95,100,10.24,CA,1691630700
145,saint-francois,47.0018865,-58.1624465,291.18,94,100,16.41,CA,1691630702
146,port douglas,-16.4845983,-58.1624465,301.11,34,0,0.72,BO,1691630702
147,glace bay,46.1949393,-58.1624465,293.68,86,81,8.92,CA,1691630703
148,saldanha,-32.9977778,-58.1624465,287.6,86,100,3.19,UY,1691630703
149,luderitz,-26.6500086,-58.1624465,291.18,83,100,1.62,AR,1691630704
150,kulhudhuffushi,6.6233167,-58.1624465,300.23,94,0,4.12,GY,1691630705
151,bozeman,45.6794293,-58.1624465,293.58,88,43,7.7,CA,1691630706
152,hovd,48.0006353,-58.1624465,284.39,98,100,13.31,CA,1691630706
153,prince rupert,54.3126572,-58.1624465,285.97,89,100,1.62,CA,1691630709
154,kerikeri,-35.2272607,-58.1624465,288.18,85,100,3.12,AR,1691630713
155,kandy,7.2931208,-58.1624465,302.12,71,98,8.84,GY,1691630714
156,vernon,49.0917814,-58.1624465,286.05,92,100,7.99,CA,1691630714
157,vila velha,-20.3297037,-58.1624465,299.26,54,0,1.19,PY,1691630715
158,roberval,49.2910032,-58.1624465,285.37,89,100,8.79,CA,1691630716
159,llallagua,-18.4227385,-58.1624465,298.62,46,7,1.81,BO,1691630717
160,chatham,51.3819167,-58.1624465,285.41,79,100,8.43,CA,1691630718
161,frankenberg,50.9110365,-58.1624465,286.99,80,100,10.56,CA,1691630719
162,cable beach,-17.9328115,-58.1624465,300.18,44,0,0.63,BO,1691630721
163,pitimbu,-7.4728063,-58.1624465,303.04,33,87,0.37,BR,1691630723
164,chinde,-18.583112,-58.1624465,300.32,45,35,1.87,BO,1691630726
165,shchuchinsk,52.9387457,-58.1624465,284.21,75,100,3.67,CA,1691630727
166,dubove,48.17917,-58.1624465,285.63,97,100,12.89,CA,1691630728
167,mahibadhoo,3.7572355,-58.1624465,297.53,81,33,0.54,GY,1691630728
168,mouila,-1.8628064,-58.1624465,298.23,74,30,0.72,BR,1691630730
169,acajutla,13.5897967,-58.1624465,302.27,76,86,6.33,BB,1691630731
170,namibe,-15.195064,-58.1624465,299.29,35,0,1.7,BR,1691630733
